epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,52.666,2.27214,1.7434,1.29349,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.0007724,0.0007724,0.0007724
64,53.389,2.32423,1.47732,1.17785,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.0007526,0.0007526,0.0007526
65,54.2014,2.29966,1.89581,1.16078,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.0007328,0.0007328,0.0007328
66,54.8927,2.22867,1.3573,1.16808,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.000713,0.000713,0.000713
67,55.6482,2.35633,1.59907,1.1408,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.0006932,0.0006932,0.0006932
68,56.3911,2.17455,1.68319,1.24418,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.0006734,0.0006734,0.0006734
69,57.1006,2.24081,1.40227,1.25004,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.0006536,0.0006536,0.0006536
70,57.7874,2.1882,1.55956,1.29975,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.0006338,0.0006338,0.0006338
71,58.5543,2.04812,2.33295,1.27328,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.000614,0.000614,0.000614
72,59.3828,2.37402,1.82775,1.153,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0005942,0.0005942,0.0005942
73,60.1154,2.26348,1.58804,1.17351,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0005744,0.0005744,0.0005744
74,60.817,1.88301,1.94317,1.25374,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0005546,0.0005546,0.0005546
75,61.5671,2.45197,1.70407,1.17735,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.0005348,0.0005348,0.0005348
76,62.3783,2.22687,1.74128,1.18953,0.68283,0.60386,0.60303,0.21914,2.17092,1.20398,1.20182,0.000515,0.000515,0.000515
