epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,70.0884,2.45609,1.63646,1.27689,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.0014984,0.0014984,0.0014984
78,70.9639,2.7869,2.73755,1.41194,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.0014918,0.0014918,0.0014918
79,71.8696,2.49439,1.4269,1.13216,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.0014852,0.0014852,0.0014852
80,72.8078,2.46284,1.39699,1.19301,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.0014786,0.0014786,0.0014786
81,73.6909,2.61247,1.59463,1.23301,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.001472,0.001472,0.001472
82,74.6181,2.49453,1.35965,1.12486,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.0014654,0.0014654,0.0014654
83,75.4972,2.42777,1.57224,1.22122,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.0014588,0.0014588,0.0014588
84,76.4309,2.41082,1.47414,1.20729,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.0014522,0.0014522,0.0014522
85,77.3281,2.4398,1.39902,1.1887,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.0014456,0.0014456,0.0014456
86,78.2163,2.55272,2.22286,1.3206,0.38137,0.5303,0.36863,0.12159,2.36433,4.15722,1.21407,0.001439,0.001439,0.001439
